Unnamed: 0,id,owner,device,timestamp,cellinfo.wgs84.lat,cellinfo.wgs84.lon,cellinfo.azimuth_degrees,cell,cellinfo.postal_code
10542,10542,Agent15,15_1,2023-05-12 23:38:44.141379,52.03666344832492,4.364296146600832,120,0-0-0,2497BW
10543,10543,Agent15,15_1,2023-05-13 01:58:39.230692,52.05795573978067,4.30571530273026,110,0-0-0,2525KJ
10544,10544,Agent15,15_1,2023-05-13 02:41:01.281397,52.03666344832492,4.364296146600832,120,0-0-0,2497BW
10545,10545,Agent15,15_1,2023-05-13 02:53:01.305410,52.03913150974646,4.368000304253156,240,0-0-0,2497DM
10546,10546,Agent15,15_1,2023-05-13 03:57:14.655106,52.02651222716517,4.361890476419118,150,0-0-0,2612TL
10547,10547,Agent15,15_1,2023-05-13 04:13:37.099369,52.01675535907515,4.351158254660443,60,0-0-0,2611XW
10548,10548,Agent15,15_1,2023-05-13 04:37:09.616169,52.03937813037367,4.34992070517012,150,0-0-0,2497GA
10549,10549,Agent15,15_1,2023-05-13 06:05:55.858059,52.02651222716517,4.361890476419118,40,0-0-0,2612TL
10550,10550,Agent15,15_1,2023-05-13 07:07:39.267432,51.99748328880215,4.354210226742795,0,0-0-0,2624EP
10551,10551,Agent15,15_1,2023-05-13 09:33:48.899580,52.02767176582986,4.357769210259272,170,0-0-0,2612CT
10552,10552,Agent15,15_1,2023-05-13 10:20:37.532570,52.03967791125274,4.389822497968823,240,0-0-0,2631AC
10553,10553,Agent15,15_1,2023-05-13 11:43:05.141587,52.03666344832492,4.364296146600832,120,0-0-0,2497BW
10554,10554,Agent15,15_1,2023-05-13 13:00:31.544795,52.04305029300129,4.355578979769384,120,0-0-0,2497GC
10555,10555,Agent15,15_1,2023-05-13 13:55:14.020224,52.01160720886886,4.380439891450515,300,0-0-0,2616LM
10556,10556,Agent15,15_1,2023-05-13 14:24:48.506167,52.03666344832492,4.364296146600832,120,0-0-0,2497BW
10557,10557,Agent15,15_1,2023-05-13 14:45:45.701364,52.02767176582986,4.357769210259272,40,0-0-0,2612CT
10558,10558,Agent15,15_1,2023-05-13 14:49:51.676930,52.02767176582986,4.357769210259272,40,0-0-0,2612CT
10559,10559,Agent15,15_1,2023-05-13 18:15:10.755919,52.07865278082042,4.340096432927872,210,0-0-0,2595AN
10560,10560,Agent15,15_1,2023-05-13 20:38:18.178998,52.04544334213244,4.346616816639904,120,0-0-0,2289CP
10561,10561,Agent15,15_1,2023-05-13 20:53:10.359806,52.03666344832492,4.364296146600832,120,0-0-0,2497BW
10562,10562,Agent15,15_1,2023-05-13 21:13:50.570895,52.02651222716517,4.361890476419118,40,0-0-0,2612TL
10563,10563,Agent15,15_1,2023-05-13 21:49:01.642137,52.01675535907515,4.351158254660443,60,0-0-0,2611XW
10564,10564,Agent15,15_1,2023-05-13 22:07:07.581031,52.02767176582986,4.357769210259272,170,0-0-0,2612CT
10565,10565,Agent15,15_1,2023-05-13 23:15:46.644469,52.045343330885935,4.338382700662322,120,0-0-0,2288BB
10566,10566,Agent15,15_1,2023-05-13 23:21:34.643736,52.02767176582986,4.357769210259272,40,0-0-0,2612CT
10567,10567,Agent15,15_1,2023-05-13 23:34:24.810554,52.02767176582986,4.357769210259272,40,0-0-0,2612CT
10568,10568,Agent15,15_1,2023-05-14 00:36:42.188813,52.00588464056726,4.349763675102031,60,0-0-0,2613NV
10569,10569,Agent15,15_1,2023-05-14 01:23:25.678899,52.03659898484632,4.324537237568548,0,0-0-0,2288GK
